codigo,razao_social,cidade,estado
100984,WELLINGTON DOS SANTOS VIEIRA,MONTE ALTO,SP
101391,REGINA SCHMIDT,MASSARANDUBA,SC
102611,METALURGICA SARAIVA INDUSTRIA E COMERCIO LTDA,BIGUACU,SC
100240,FENIX SOLUCOES INDUSTRIAIS,SERTAOZINHO,SP
100299,JOSE ANTONIO SANCHES,CATANDUVA,SP
101622,LUFER INDUSTRIA MECANICA LTDA,SAO JOSE DOS PINHAIS,PR
100348,PAULO MOCOCA,MOCOCA,SP
100550,CELSO RICARDO GENEROSO DA SILVA,GUARIBA,SP
102586,NOVA A3 INDUSTRIA E COMERCIO LTDA,AREAL,RJ
100715,ROMITEC MANUTENCAO E COMERCIO DE MAQUINAS LTDA,CURITIBA,PR
101417,GILNEI BRAGA,SAPUCAIA DO SUL,RS
100870,ANDRE RAMBO,CAPELA DE SANTANA,RS
100957,SLG FERRAMENTARIA LTDA ME,VARGEM GRANDE DO SUL,SP
100964,ENGC ENGENHARIA E CONSTRUCOES LTDA,LIMEIRA,SP
100967,SCOTTECH IND E COM DE MAQ E EQU INDUSTRIAIS LTDA,VINHEDO,SP
100969,TECNO TOOLS FERRAMENTAS E ABRASIVOS LTDA,ITU,SP
100972,HIDROPARTS METALURGICA LTDA.,SAO PAULO,SP
100973,ATUAL SP COMERCIO DE FERRAMENTAS E EQUIPAMENTOS LT,SAO PAULO,SP
100977,METALURGICA DUTRA E MATTOS LTDA - EPP,CATALAO,GO
100978,FRIGORIFICO AVICOLA VOTUPORANGA LTDA,VOTUPORANGA,SP
101001,MORELLI INDUSTRIA E COMERCIO DE PECAS AGRICOLAS,MATAO,SP
102067,E S ANDRADE EQUIPAMENTOS INDUSTRIAIS LTDA,ARARAS,SP
101152,ARISTIDES RUBIAO ALVES MEIRA,SAO PAULO,SP
101206,RODRIGO GUERINO PAUNA HILARIO,SAO JOSE DO RIO PRETO,SP
101222,ANTONIO ROBERTO PEREIRA,SAO PAULO,SP
101370,MARCOS MARCELO DE MORAIS OLIVEIRA,CAXIAS DO SUL,RS
101389,MATHEUS WILLIAM FERREIRA,CONTAGEM,MG
101420,CLODOALDO ANTONIO FERRARI,BRAGANCA PAULISTA,SP
101427,ALEXANDRO SILVA,CACHOEIRINHA,RS
101442,VALDIR ANTONIO LECHETA,PINHAIS,PR
101444,LUIS MAURO SANTOS DA SILVA JUNIOR,RIO DE JANEIRO,RJ
101447,MAQFUSOS SISTEMAS INDUSTRIAIS LTDA,VOTORANTIM,SP
101449,TECNOMETAIS USINADOS LTDA,CAMPINAS,SP
101450,JULIANA VENTURA,INDAIATUBA,SP
101452,AGM SERVICES USINAGEM DE PRECISAO EIRELI EPP,DUQUE DE CAXIAS,RJ
101458,INDUSTRIA MECANICA ANGULO LTDA ME,CONTAGEM,MG
101471,RODRIGO CHINELATTO DE AQUINO,CURITIBA,PR
101483,LEONARDO ESTEVES MUSSEL,CONTAGEM,MG
101487,ANA PAULA FERREIRA RIBEIRO,SAO PAULO,SP
101488,USINESES - USINAGEM DE PRECISAO LTDA,LIMEIRA,SP
101490,ROBERTO C F SOUZA,SAO JOSE DOS CAMPOS,SP
101498,GOBBO & BOSCAINI LTDA,CARLOS BARBOSA,RS
101506,ELTON ANTONIO RODRIGUES,CHAPECO,SC
101524,RAFAEL GONCALVES NAZARENO,PEDRO LEOPOLDO,MG
101538,FARB INSTALACAO DE MAQUINAS LTDA,RIBEIRAO PRETO,SP
101543,SEMI INDUSTRIAL LTDA,SAO JOSE DOS PINHAIS,PR
101552,AEPI DO BRASIL INDUSTRIA E COMERCIO LTDA,ITAPEVI,SP
101562,METALURGICA SOARES INDUSTRIA E COMERCIO LTDA,ITAUNA,MG
101566,HOSPIMETAL IND. MET. DE EQUIP. HOSPITALARES LTDA,ARAAATUBA,SP
101569,MDA DO BRASIL INDUSTRIA E COMERCIO EIRELLI EPP,SOROCABA,SP
101573,ENGELMAQ MANUTENCAO DE MAQ. E EQUIP. LTDA EPP,VALINHOS,SP
101575,CONSILOS INDUSTRIAL LTDA,CASCAVEL,PR
101576,HIDRO JET EQUIPAMENTOS HIDRAULICOS LTDA,FELIZ,RS
101580,PLASTICOS MB LTDA,PEDREIRA,SP
101581,CORTAG INDUSTRIA E COMERCIO LTDA,MOJI MIRIM,SP
101582,GUSTAVO MOURA,LIMEIRA,SP
101583,SNUBBER INDUSTRIA E COMERCIO EIRELI,DIADEMA,SP
101586,ABC INCOMPANY MATERIAIS REP. E OPER. EIRELI,SUZANO,SP
101588,AGROTEK TRANSMISSOES INDUSTRIAL LTDA,SAPIRANGA,RS
101591,SCHEFFER LOGISTICA E AUOMACAO LTDA,PONTA GROSSA,PR
101593,ARTE USINAGEM INDUSTRIAL LTDA,CONTAGEM,MG
101594,TRIMETAL BENEFICIAMENTOS LTDA,CAXIAS DO SUL,RS
101598,FORCE COMPONENTES AGRICOLAS LTDA,MATAO,SP
101599,METALURGICA INCA LTDA,MOCOCA,SP
101600,RODRIGO LOVEZUTTI CONTIERI,LIMEIRA,SP
101602,RODOTRAC RODAS DE TRATORES LTDA,IRACEMAPOLIS,SP
101603,RODAROS INDUSTRIA DE RODAS LTDA,VACARIA,RS
101608,FELIPE CONTIERI,LIMEIRA,SP
101610,FIOTI AUTOMACAO E EQUIPAMENTOS INDUSTRIAIS - ME,SAO PAULO,SP
101611,PAULO AFONSO ANDRADE DE FREITAS,SAPUCAIA DO SUL,RS
101612,RS MAQUINAS EIRELI ME,SUZANO,SP
101613,ENGEPORT FABR. AUTOM. PARA PORTOES COMP. EIRELI,BRASILIA,DF
101614,MARELLI COFAP DO BRASIL LTDA,LAVRAS,MG
101615,MGN INDUSTRIA METALURGICA LTDA,ITAJAI,SC
101616,MAGTRON ELETRO ELETRONICA LTDA,SAO PAULO,SP
101620,CRISTIANO HORTENCIO PIMENTA ME,VARGINHA,MG
101627,MH EQUIPAMENTOS E SERVICOS LTDA,SOROCABA,SP
101628,AISIN AUTOMOTIVE LTDA.,ITU,SP
101631,INDUSTRIA DE EMBALAGENS PLASTICAS GUARA LTDA,CRICIUMA,SC
101634,A. J. C. USINAGEM EIRELI,RIBEIRAO PRETO,SP
101636,EROS ALTO FALANTES LTDA,PRESIDENTE PRUDENTE,SP
101638,FMG COMERCIO DE FERRO LIGAS EIRELI,PIRACICABA,SP
101640,FORTALE USINAGEM E FERRAMENTARIA LTDA,AMERICANA,SP
101650,DRAVA METAIS LTDA,SAO PAULO,SP
101654,GENESIO CORDEIRO DE ARAUJO FILHO,SAO PAULO,SP
