codigo_equipamento,codigo_cliente,cliente_nome,descricao,marca,modelo,numero_serie,localizacao,qr_code,ativo
1,100018,"TOTAL HEALTH DO BRASIL EIRELI","GL 280",ROMI,GL 280,016.015203-465,,EQ-1,true
2,100216,"CENTRAL ENERGETICA VALE DO SAPUCAO LTDA","TORNO MECANICO CLARK CDS 76",CLARK,CDS 76,811201,,EQ-2,true
3,100216,"CENTRAL ENERGETICA VALE DO SAPUCAO LTDA","TORNO MECANICO",, ,CDS 62768,,EQ-3,true
21,100018,"TOTAL HEALTH DO BRASIL EIRELI","SKT21LM",CLARK,SKT21LM,G31520547,,EQ-21,true
760,100063,"FINITI EQUIPAMENTOS LTDA ME","DISCOVERY 760",ROMI,DISCOVERY 760,16003569384,,EQ-760,true
101048,101048,"TDI MAQUINAS A. IND. E COM LTDA","CENTUR 35D",,35D,16010495458,,EQ-101048,true
10000001,100001,"TBA TECNOLOGIA EM EQUIPAMENTO LTDA","TORNO LOGIC 195 II (CNC-03)",NARDINI,LOGIC 195 II,FO.KGT.938,,EQ-10000001,true
10000002,100014,"LUMA INDUSTRIA E COMERCIO DE PECAS E SERVICOS LTDA","CENTRO DE USINAGEM CVK-1500D",VEIKER,CVK-1500D,200808095,,EQ-10000002,true
10000003,100030,"TRON INDUSTRIAL REFIGERACAO E ELETRONICA LTDA","TORNO CENTUR 20 RV - MACH 8",ROMI, ,002.080142-341,,EQ-10000003,true
10000004,100018,"TOTAL HEALTH DO BRASIL EIRELI","GL 170G",ROMI,GL 170G,16015562500,,EQ-10000004,true
10000005,100018,"TOTAL HEALTH DO BRASIL EIRELI","TORNO CNC GL280M",ROMI,GL280M,016.015203-465,,EQ-10000005,true
10000006,100018,"TOTAL HEALTH DO BRASIL EIRELI","VTL 500R",, ,16014823505,,EQ-10000006,true
10000007,100012,"GM INDUSTRIA COMERCIO MANUT DE EQUIPAMENTOS LTDA","DISCOVERY 760",, ,2090652384,,EQ-10000007,true
10000008,100012,"GM INDUSTRIA COMERCIO MANUT DE EQUIPAMENTOS LTDA","MULTIPLIC 40A",ROMI, ,2093029405,,EQ-10000008,true
10000009,100016,"MONTEFER INDUSTRIA E COMERCIO DE FERRAMENTARIALTDA","CENTRO DE USINAGEM CVK-1500D",VEKER, ,200805041,,EQ-10000009,true
10000010,100034,"TENNECO SISTEMAS AUTOMOTIVOS LTDA","MAGDEBURE",, ,16200C163210,,EQ-10000010,true
10000011,100025,"USINIL INDUSTRIA METALURGICA LTDA","CENTUR 30D",ROMI, ,2083856358,,EQ-10000011,true
10000012,100024,"SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA","TORNO CENTUR 30D - SIEMENS 802D",ROMI, ,002.092020-448,,EQ-10000012,true
10000013,100024,"SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA","TORNO CENTUR 35D - SIEMENS 802D",ROMI, ,016.013010-458,,EQ-10000013,true
10000014,100024,"SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA","TORNO MECANICO CLEVER",CLEVER, ,9238,,EQ-10000014,true
10000015,100024,"SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA","CENTUR 30D",ROMI, ,2067635386,,EQ-10000015,true
10000016,100024,"SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA","CENTUR 30D",ROMI, ,2087835358,,EQ-10000016,true
10000017,100024,"SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA","GL 280",ROMI, ,16009097465,,EQ-10000017,true
10000018,100001,"TBA TECNOLOGIA EM EQUIPAMENTOS LTDA","TORNO NARDINI MS 1440 E",NARDINI, ,B1HERMS325,,EQ-10000018,true
10000019,100001,"TBA TECNOLOGIA EM EQUIPAMENTOS LTDA","TORNO CENTUR 30D (CNC-01)",ROMI, ,002.092429-448,,EQ-10000019,true
10000020,100001,"TBA TECNOLOGIA EM EQUIPAMENTOS LTDA","C.U. DISCOVERY 4022 - MACH 9 (CT-01)",ROMI, ,016.003471-353,,EQ-10000020,true
10000021,100001,"TBA TECNOLOGIA EM EQUIPAMENTOS LTDA","TORNO LOGIC 195 II",, ,FO KHT 938,,EQ-10000021,true
10000022,100001,"TBA TECNOLOGIA EM EQUIPAMENTOS LTDA","FRESADORA ASERF ASA",, , , ,EQ-10000022,true
10000023,100039,"PETROTEC EQUIPAMENTOS PARA CONSTRUCAO CIVIL LTDA","TORNO LOGIC 195 II - MCS SX 570",NARDINI, ,E5.KDR.833,,EQ-10000023,true
10000024,100027,"INDUSTRIAS REUNIDAS COLOMBO LTDA","CENTUR 35 RV",ROMI, ,2077830340,,EQ-10000024,true
10000025,100029,"SEMMAG TORNEARIA DE PECAS LTDA ME","FRESADORA",, ,18,,EQ-10000025,true
10000026,100002,"ALMEIDA EQUIPAMENTOS LTDA","D800",ROMI, ,16008503450,,EQ-10000026,true
10000027,100035,"LABORATORIO DIESEL AUTO PECAS LTDA ME","DISCOVERY 560",, ,2092174392,,EQ-10000027,true
10000028,100035,"LABORATORIO DIESEL AUTO PECAS LTDA ME","CENTUR 30D",ROMI, ,2092401448,,EQ-10000028,true
10000029,100037,"DIEGO LINCOLN SOARES DA CRUZ ME","CENTUR 30D",ROMI, ,2092739448,,EQ-10000029,true
10000030,100038,"LUCAFER INDUSTRIA","CENTUR 30D",ROMI, ,2089384411,,EQ-10000030,true
10000031,100036,"METALCONEX INDUSTRIA E COMERCIO DE CONEXOES LTDA","SKT 160A",HYNDAI, ,G3XCZ2 0737,,EQ-10000031,true
10000032,100034,"TENNECO SISTEMAS AUTOMOTIVOS LTDA","MAGDELRUG/LANDIS",, ,1.62E+11,,EQ-10000032,true
10000033,100034,"TENNECO SISTEMAS AUTOMOTIVOS LTDA","HELLER",,SIEMENS,48-44018-000,,EQ-10000033,true
10000034,100032,"MGA IND E COM DE MAQUINAS E PECAS AGRICOLAS LTDA","C.U. DISCOVERY 4022 (MACH 9)",ROMI, ,016.002513-353,,EQ-10000034,true
10000035,100040,"NELSON LONGARINI JUNIOR - ME","CENTRO DE USINAGEM DISCOVERY 4022",ROMI, ,16002229353,,EQ-10000035,true
10000036,100031,"DINAMICA USINAGENS DE PE�AS LTDA ME","CNC CENTUR 35D SIEMENS 802D (CN-02)",ROMI, ,0160.11134-458,,EQ-10000036,true
10000038,100018,"TOTAL HEALTH DO BRASIL EIRELI","DISCOVERY 1000 - SINUMERIK 810D",ROMI, ,016.004797-409,,EQ-10000038,true
10000039,100002,"ALMEIDA EQUIPAMENTOS LTDA","GL 170G",ROMI, ,016.016369-500,,EQ-10000039,true
10000040,100001,"TBA TECNOLOGIA EM EQUIPAMENTOS LTDA","TORNO NARDINI 220M III (TC-06)",NARDINI, ,AHKSM692,,EQ-10000040,true
10000041,100030,"TRON INDUSTRIAL REFIGERACAO E ELETRONICA LTDA","TORNO CENTUR 30D - MACH9",ROMI, ,002.086170-358,,EQ-10000041,true
10000042,100040,"NELSON LONGARINI JUNIOR - ME","ECO II (TORNO CNC)",, , , ,EQ-10000042,true
10000043,100044,"VV REDUTORES E FUNDICOES LTDA ME","OXICORTE SCARA",, , , ,EQ-10000043,true
10000044,100025,"USINIL INDUSTRIA METALURGICA LTDA","NARDINI LOGIC",NARDINI, ,E3KCQ796,,EQ-10000044,true
10000045,100045,"FERMALTO FERRAMENTARIA E USINAGEM","TORNO ITA 170",, , , ,EQ-10000045,true
