codigo_equipamento,codigo_cliente,cliente_nome,marca,modelo,numero_serie
1,100018,TOTAL HEALTH DO BRASIL EIRELI,ROMI,GL 280,016.015203-465
2,100216,CENTRAL ENERGETICA VALE DO SAPUCAO LTDA,CLARK,CDS 76,811201
3,100216,CENTRAL ENERGETICA VALE DO SAPUCAO LTDA,,,CDS 62768
21,100018,TOTAL HEALTH DO BRASIL EIRELI,CLARK,SKT21LM,G31520547
760,100063,FINITI EQUIPAMENTOS LTDA ME,ROMI,DISCOVERY 760,16003569384
101048,101048,TDI MAQUINAS A. IND. E COM LTDA,,35D,16010495458
10000001,100001,TBA TECNOLOGIA EM EQUIPAMENTO LTDA,NARDINI,LOGIC 195 II,FO.KGT.938
10000002,100014,LUMA INDUSTRIA E COMERCIO DE PECAS E SERVICOS LTDA,VEIKER,CVK-1500D,200808095
10000003,100030,TRON INDUSTRIAL REFIGERACAO E ELETRONICA LTDA,ROMI,,002.080142-341
10000004,100018,TOTAL HEALTH DO BRASIL EIRELI,ROMI,GL 170G,16015562500
10000005,100018,TOTAL HEALTH DO BRASIL EIRELI,ROMI,GL280M,016.015203-465
10000006,100018,TOTAL HEALTH DO BRASIL EIRELI,,,16014823505
10000007,100012,GM INDUSTRIA COMERCIO MANUT DE EQUIPAMENTOS LTDA,,,2090652384
10000008,100012,GM INDUSTRIA COMERCIO MANUT DE EQUIPAMENTOS LTDA,ROMI,,2093029405
10000009,100016,MONTEFER INDUSTRIA E COMERCIO DE FERRAMENTARIALTDA,VEKER,,200805041
10000010,100034,TENNECO SISTEMAS AUTOMOTIVOS LTDA,,,16200C163210
10000011,100025,USINIL INDUSTRIA METALURGICA LTDA,ROMI,,2083856358
10000012,100024,SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA,ROMI,,002.092020-448
10000013,100024,SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA,ROMI,,016.013010-458
10000014,100024,SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA,CLEVER,,9238
10000015,100024,SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA,ROMI,,2067635386
10000016,100024,SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA,ROMI,,2087835358
10000017,100024,SR USINAGEM E COM DE PECAS E MAQUINAS AGRI LTDA,ROMI,,16009097465
10000018,100001,TBA TECNOLOGIA EM EQUIPAMENTOS LTDA,NARDINI,,B1HERMS325
10000019,100001,TBA TECNOLOGIA EM EQUIPAMENTOS LTDA,ROMI,,002.092429-448
10000020,100001,TBA TECNOLOGIA EM EQUIPAMENTOS LTDA,ROMI,,016.003471-353
10000021,100001,TBA TECNOLOGIA EM EQUIPAMENTOS LTDA,,,FO KHT 938
10000022,100001,TBA TECNOLOGIA EM EQUIPAMENTOS LTDA,,,
10000023,100039,PETROTEC EQUIPAMENTOS PARA CONSTRUCAO CIVIL LTDA,NARDINI,,E5.KDR.833
10000024,100027,INDUSTRIAS REUNIDAS COLOMBO LTDA,ROMI,,2077830340
10000025,100029,SEMMAG TORNEARIA DE PECAS LTDA ME,,,18
10000026,100002,ALMEIDA EQUIPAMENTOS LTDA,ROMI,,16008503450
10000027,100035,LABORATORIO DIESEL AUTO PECAS LTDA ME,,,2092174392
10000028,100035,LABORATORIO DIESEL AUTO PECAS LTDA ME,ROMI,,2092401448
10000029,100037,DIEGO LINCOLN SOARES DA CRUZ ME,ROMI,,2092739448
10000030,100038,LUCAFER INDUSTRIA,ROMI,,2089384411
10000031,100036,METALCONEX INDUSTRIA E COMERCIO DE CONEXOES LTDA,HYNDAI,,G3XCZ2 0737
10000032,100034,TENNECO SISTEMAS AUTOMOTIVOS LTDA,,,1.62E+11
10000033,100034,TENNECO SISTEMAS AUTOMOTIVOS LTDA,,SIEMENS,48-44018-000
10000034,100032,MGA IND E COM DE MAQUINAS E PECAS AGRICOLAS LTDA,ROMI,,016.002513-353
10000035,100040,NELSON LONGARINI JUNIOR - ME,ROMI,,16002229353
10000036,100031,DINAMICA USINAGENS DE PE�AS LTDA ME,ROMI,,0160.11134-458
10000038,100018,TOTAL HEALTH DO BRASIL EIRELI,ROMI,,016.004797-409
10000039,100002,ALMEIDA EQUIPAMENTOS LTDA,ROMI,,016.016369-500
10000040,100001,TBA TECNOLOGIA EM EQUIPAMENTOS LTDA,NARDINI,,AHKSM692
10000041,100030,TRON INDUSTRIAL REFIGERACAO E ELETRONICA LTDA,ROMI,,002.086170-358
10000042,100040,NELSON LONGARINI JUNIOR - ME,,,
10000043,100044,VV REDUTORES E FUNDICOES LTDA ME,,,
10000044,100025,USINIL INDUSTRIA METALURGICA LTDA,NARDINI,,E3KCQ796
10000045,100045,FERMALTO FERRAMENTARIA E USINAGEM,,,
